ID,Label
test_00000.png,1
test_00001.png,2
test_00002.png,5
test_00003.png,0
test_00004.png,2
test_00005.png,5
test_00006.png,5
test_00007.png,5
test_00008.png,0
test_00009.png,2
test_00010.png,3
test_00011.png,0
test_00012.png,0
test_00013.png,1
test_00014.png,1
test_00015.png,0
test_00016.png,0
test_00017.png,5
test_00018.png,0
test_00019.png,0
test_00020.png,4
test_00021.png,1
test_00022.png,4
test_00023.png,5
test_00024.png,0
test_00025.png,0
test_00026.png,5
test_00027.png,0
test_00028.png,5
test_00029.png,5
test_00030.png,1
test_00031.png,5
test_00032.png,4
test_00033.png,1
test_00034.png,2
test_00035.png,4
test_00036.png,1
test_00037.png,4
test_00038.png,0
test_00039.png,1
test_00040.png,2
test_00041.png,5
test_00042.png,4
test_00043.png,1
test_00044.png,5
test_00045.png,5
test_00046.png,0
test_00047.png,4
test_00048.png,3
test_00049.png,3
test_00050.png,5
test_00051.png,5
test_00052.png,5
test_00053.png,4
test_00054.png,0
test_00055.png,0
test_00056.png,0
test_00057.png,0
test_00058.png,0
test_00059.png,3
test_00060.png,0
test_00061.png,5
test_00062.png,0
test_00063.png,4
test_00064.png,2
test_00065.png,1
test_00066.png,3
test_00067.png,3
test_00068.png,4
test_00069.png,1
test_00070.png,3
test_00071.png,0
test_00072.png,5
test_00073.png,0
test_00074.png,3
test_00075.png,1
test_00076.png,5
test_00077.png,1
test_00078.png,5
test_00079.png,1
test_00080.png,0
test_00081.png,1
test_00082.png,4
test_00083.png,2
test_00084.png,4
test_00085.png,1
test_00086.png,0
test_00087.png,5
test_00088.png,0
test_00089.png,3
test_00090.png,3
test_00091.png,3
test_00092.png,1
test_00093.png,0
test_00094.png,4
test_00095.png,0
test_00096.png,5
test_00097.png,5
test_00098.png,5
test_00099.png,1
test_00100.png,5
test_00101.png,5
test_00102.png,0
test_00103.png,1
test_00104.png,1
test_00105.png,5
test_00106.png,5
test_00107.png,5
test_00108.png,5
test_00109.png,4
test_00110.png,5
test_00111.png,3
test_00112.png,3
test_00113.png,3
test_00114.png,0
test_00115.png,0
test_00116.png,0
test_00117.png,5
test_00118.png,3
test_00119.png,0
test_00120.png,5
test_00121.png,0
test_00122.png,5
test_00123.png,1
test_00124.png,1
test_00125.png,5
test_00126.png,1
test_00127.png,0
test_00128.png,0
test_00129.png,5
test_00130.png,0
test_00131.png,0
test_00132.png,5
test_00133.png,0
test_00134.png,1
test_00135.png,1
test_00136.png,5
test_00137.png,4
test_00138.png,4
test_00139.png,1
test_00140.png,0
test_00141.png,0
test_00142.png,5
test_00143.png,1
test_00144.png,0
test_00145.png,5
test_00146.png,5
test_00147.png,3
test_00148.png,5
test_00149.png,2
test_00150.png,3
test_00151.png,0
test_00152.png,0
test_00153.png,2
test_00154.png,1
test_00155.png,5
test_00156.png,0
test_00157.png,0
test_00158.png,4
test_00159.png,0
test_00160.png,0
test_00161.png,4
test_00162.png,5
test_00163.png,5
test_00164.png,0
test_00165.png,0
test_00166.png,0
test_00167.png,4
test_00168.png,1
test_00169.png,5
test_00170.png,5
test_00171.png,0
test_00172.png,5
test_00173.png,1
test_00174.png,0
test_00175.png,4
test_00176.png,0
test_00177.png,4
test_00178.png,3
test_00179.png,5
test_00180.png,5
test_00181.png,3
test_00182.png,3
test_00183.png,0
test_00184.png,0
test_00185.png,3
test_00186.png,5
test_00187.png,0
test_00188.png,1
test_00189.png,2
test_00190.png,0
test_00191.png,0
test_00192.png,3
test_00193.png,5
test_00194.png,2
test_00195.png,5
test_00196.png,3
test_00197.png,3
test_00198.png,5
test_00199.png,0
test_00200.png,5
test_00201.png,5
test_00202.png,0
test_00203.png,5
test_00204.png,3
test_00205.png,0
test_00206.png,1
test_00207.png,4
test_00208.png,1
test_00209.png,3
test_00210.png,1
test_00211.png,5
test_00212.png,0
test_00213.png,0
test_00214.png,3
test_00215.png,5
test_00216.png,5
test_00217.png,1
test_00218.png,5
test_00219.png,1
test_00220.png,5
test_00221.png,0
test_00222.png,5
test_00223.png,4
test_00224.png,5
test_00225.png,3
test_00226.png,5
test_00227.png,0
test_00228.png,5
test_00229.png,4
test_00230.png,4
test_00231.png,3
test_00232.png,3
test_00233.png,5
test_00234.png,0
test_00235.png,1
test_00236.png,5
test_00237.png,0
test_00238.png,4
test_00239.png,4
test_00240.png,3
test_00241.png,5
test_00242.png,1
test_00243.png,0
test_00244.png,5
test_00245.png,0
test_00246.png,0
test_00247.png,5
test_00248.png,0
test_00249.png,5
test_00250.png,4
test_00251.png,5
test_00252.png,3
test_00253.png,3
test_00254.png,5
test_00255.png,5
test_00256.png,5
test_00257.png,0
test_00258.png,1
test_00259.png,3
test_00260.png,2
test_00261.png,3
test_00262.png,1
test_00263.png,5
test_00264.png,4
test_00265.png,3
test_00266.png,1
test_00267.png,5
test_00268.png,3
test_00269.png,0
test_00270.png,5
test_00271.png,1
test_00272.png,1
test_00273.png,5
test_00274.png,1
test_00275.png,4
test_00276.png,0
test_00277.png,0
test_00278.png,0
test_00279.png,4
test_00280.png,0
test_00281.png,4
test_00282.png,2
test_00283.png,1
test_00284.png,2
test_00285.png,5
test_00286.png,4
test_00287.png,5
test_00288.png,0
test_00289.png,0
test_00290.png,0
test_00291.png,0
test_00292.png,0
test_00293.png,1
test_00294.png,0
